X,Y,FID,UML_ID,Group_Name,Parent_Com,Mill_Name,RSPO_Statu,RSPO_Type,Date,Latitude,Longitude,GPS_coordi,GPS_coor_1,GPS_coor_2,ISO,Country,Province,District,Confidence,Alternativ,Field17
117.7919,0.966702,1072,PO1000008271,FAIRCO,FAIRCO AGRO MANDIRI,KAUBUN,Not RSPO Certified, ,2020/09/01 00:00:00+00,0.966702,117.7919,"0.966702, 117.7919",117.7919,0.966702,IDN,Indonesia,Kalimantan Timur,Kutai Timur,1-Fully Verified, , 
100.536572,0.974123,1073,PO1000008272,DARMEX AGRO,ELUAN MAHKOTA,KOTA TENGAH,Not RSPO Certified, ,2020/09/01 00:00:00+00,0.974123,100.536572,"0.974123, 100.536572",100.536572,0.974123,IDN,Indonesia,Riau,Rokan Hulu,1-Fully Verified, , 
101.045278,0.979111,1074,PO1000008273,AEK NATIO,DIAN ANGGARA PERSADA,MUTIARA SAM-SAM KANDIS,Not RSPO Certified, ,2020/09/01 00:00:00+00,0.979111,101.045278,"0.979111, 101.045278",101.045278,0.979111,IDN,Indonesia,Riau,Siak,1-Fully Verified, , 
116.753692,0.991853,1075,PO1000008274,ASTRA AGRO LESTARI,KARYANUSA EKADAYA,KARYANUSA EKA DAYA 1,Not RSPO Certified, ,2020/09/01 00:00:00+00,0.991853,116.753692,"0.991853, 116.753692",116.753692,0.991853,IDN,Indonesia,Kalimantan Timur,Kutai Timur,1-Fully Verified, , 
100.849444,1.125556,1076,PO1000008277,UNKNOWN,SONTANG SAWIT PERMAI,SONTANG SAWIT PERMAI,Not RSPO Certified, ,2020/09/01 00:00:00+00,1.125556,100.849444,"1.125556, 100.849444",100.849444,1.125556,IDN,Indonesia,Riau,Rokan Hulu,1-Fully Verified, , 
101.27829,1.163592,1077,PO1000008278,UNKNOWN,SEMUNAI SAWIT PERKASA,SEMUNAI SAWIT PERKASA,Not RSPO Certified, ,2020/09/01 00:00:00+00,1.163592,101.27829,"1.163592, 101.27829",101.27829,1.163592,IDN,Indonesia,Riau,Bengkalis,1-Fully Verified, , 
100.384187,1.222161,1078,PO1000008279,UNKNOWN,ARYA RAMA PRAKASA,ARYA RAMA PRAKASA,Not RSPO Certified, ,2020/09/01 00:00:00+00,1.222161,100.384187,"1.222161, 100.384187",100.384187,1.222161,IDN,Indonesia,Riau,Rokan Hulu,1-Fully Verified, , 
101.250447,1.250402,1079,PO1000008282,UNKNOWN,PERMATA CITRA RANGAU,PERMATA CITRA RANGAU,Not RSPO Certified, ,2020/09/01 00:00:00+00,1.250402,101.250447,"1.250402, 101.250447",101.250447,1.250402,IDN,Indonesia,Riau,Bengkalis,1-Fully Verified, , 
109.603,1.4294,1080,PO1000008284,DARMEX AGRO,WIRATA DAYA BANGUN PERSADA,WIRATA DAYA BANGUN PERSADA,Not RSPO Certified, ,2020/09/01 00:00:00+00,1.4294,109.603,"1.42940, 109.60300",109.603,1.4294,IDN,Indonesia,Kalimantan Barat,Sambas,1-Fully Verified, , 
109.716423,1.464745,1081,PO1000008285,DARMEX AGRO,LEDO LESTARI,LEDO LESTARI,Not RSPO Certified, ,2020/09/01 00:00:00+00,1.464745,109.716423,"1.464745, 109.716423",109.716423,1.464745,IDN,Indonesia,Kalimantan Barat,Bengkayang,1-Fully Verified, , 
-78.740195,1.466186,1082,PO1000008286,UNKNOWN,SALAMANCA OLEAGINOSAS S.A.,SALAMANCA OLEAGINOSAS S.A.,Not RSPO Certified, ,2020/09/01 00:00:00+00,1.466186,-78.740195,"1.466186, -78.740195",-78.740195,1.466186,COL,Colombia,Nariño,Tumaco,1-Fully Verified, , 
100.598806,1.475833,1083,PO1000008287,UNKNOWN,KARYA ABADI SAMA SEJATI,KARYA ABADI SAMA SEJATI,Not RSPO Certified, ,2020/09/01 00:00:00+00,1.475833,100.598806,"1.475833, 100.598806",100.598806,1.475833,IDN,Indonesia,Riau,Rokan Hilir,1-Fully Verified, , 
-78.662003,1.480669,1084,PO1000008288,UNKNOWN,C.I. TOP S.A.,EXTRACTORA SANTAFE SAS,Not RSPO Certified, ,2020/09/01 00:00:00+00,1.480669,-78.662003,"1.480669, -78.662003",-78.662003,1.480669,COL,Colombia,Nariño,Tumaco,1-Fully Verified, , 
-78.739673,1.5232,1085,PO1000008289,UNKNOWN,PALMAS DE TUMACO S.A.S.,PALMAS DE TUMACO S.A.S.,Not RSPO Certified, ,2020/09/01 00:00:00+00,1.5232,-78.739673,"1.5232, -78.739673",-78.739673,1.5232,COL,Colombia,Nariño,Tumaco,1-Fully Verified, , 
98.974806,1.527861,1086,PO1000008290,UNKNOWN,BINTANG NAULI PRATAMA,BINTANG NAULI PRATAMA,Not RSPO Certified, ,2020/09/01 00:00:00+00,1.527861,98.974806,"1.527861, 98.974806",98.974806,1.527861,IDN,Indonesia,Sumatera Utara,Tapanuli Tengah,1-Fully Verified, , 
99.9559,1.5501,1087,PO1000008291,UNKNOWN,SUMBER SAWIT NUSANTARA,SUMBER SAWIT NUSANTARA,Not RSPO Certified, ,2020/09/01 00:00:00+00,1.5501,99.9559,"1.5501, 99.9559",99.9559,1.5501,IDN,Indonesia,Sumatera Utara,Padang Lawas Utara,1-Fully Verified, , 
117.3628,4.238583,1088,PO1000008292,FANGIONO AGRO PLANTATION (FAP AGRI),BHUMI SIEMANGGARIS INDAH,BHUMI SIMANGGARIS INDAH,Not RSPO Certified, ,2020/09/01 00:00:00+00,4.238583,117.3628,"4.238583, 117.3628",117.3628,4.238583,IDN,Indonesia,Kalimantan Timur,Nunukan,1-Fully Verified, , 
114.097345,4.306868,1089,PO1000008295,RIMEX,PRIMALUCK (M) SDN BHD,PRIMALUCK,Not RSPO Certified, ,2020/09/01 00:00:00+00,4.306868,114.097345,"4.306868, 114.097345",114.097345,4.306868,MYS,Malaysia,Sarawak,Miri,1-Fully Verified, , 
